run_id,ts_lectura,codigo,actividad,grupo,profesores_raw,cupos_disponibles,orden_lectura
local-20260826T070111,2026-08-26T07:01:51-05:00,1000003-B,NA,(15) Grupo 15,Myriam Leonor Campos Florez,0,2
local-20260826T070111,2026-08-26T07:01:51-05:00,1000003-B,NA,(16) Grupo 16,No informado,0,2
local-20260826T070111,2026-08-26T07:01:51-05:00,1000003-B,NA,(17) Grupo 17,Martha Cecilia Moreno Penagos,0,2
local-20260826T070111,2026-08-26T07:01:51-05:00,1000003-B,NA,(18) Grupo 18,John Alexander Cruz Morales,0,2
local-20260826T070111,2026-08-26T07:01:51-05:00,1000003-B,NA,(20) Grupo 20,Natalia Camila Pinzon Cortes,0,2
local-20260826T070111,2026-08-26T07:01:51-05:00,1000003-B,NA,(21) Grupo 21,Ivon Andrea Dorado Correa,0,2
local-20260826T070111,2026-08-26T07:01:51-05:00,1000003-B,NA,(22) Grupo 22,No informado,0,2
local-20260826T070111,2026-08-26T07:01:51-05:00,1000003-B,NA,(3) Grupo 3,No informado,0,2
local-20260826T070111,2026-08-26T07:01:51-05:00,1000003-B,NA,(4) Grupo 4,Luis Alejandro Barbosa Torres,0,2
local-20260826T070111,2026-08-26T07:01:51-05:00,1000003-B,NA,(5) Grupo 5,Jaime David Mora Paz,0,2
local-20260826T070111,2026-08-26T07:01:51-05:00,1000003-B,NA,(7) Grupo 7,Myriam Leonor Campos Florez,0,2
local-20260826T070111,2026-08-26T07:01:51-05:00,1000003-B,NA,(8) Grupo 8,No informado,8,2
local-20260826T070111,2026-08-26T07:01:52-05:00,2015940,CLASE TEORICA,(1) Grupo 1,Maritzabel Molina Herrera,0,3
local-20260826T070111,2026-08-26T07:01:52-05:00,2015940,CLASE TEORICA,(2) Grupo 2,Gabriel Andres Bernal Granados,0,3
local-20260826T070111,2026-08-26T07:01:52-05:00,2015940,CLASE TEORICA,(3) Grupo 3,No informado,0,3
local-20260826T070111,2026-08-26T07:01:54-05:00,2015941,CLASE TEORICA,(1) Grupo 1,Patricia Luna Tamayo,0,4
local-20260826T070111,2026-08-26T07:01:54-05:00,2015941,CLASE TEORICA,(2) Grupo 2,No informado,0,4
local-20260826T070111,2026-08-26T07:01:54-05:00,2015941,CLASE TEORICA,(3) Grupo 3,Carlos Ramiro Vallecilla Bahena,0,4
local-20260826T070111,2026-08-26T07:01:54-05:00,2015941,CLASE TEORICA,(4) Grupo 4,No informado,0,4
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(10) Grupo 10,No informado,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(11) Grupo 11,No informado,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(12) Grupo 12,No informado,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(13) Grupo 13,No informado,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(14) Grupo 14,No informado,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(16) Grupo 16,No informado,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(17) Grupo 17,Hernan Garzon Gutierrez,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(19) Grupo 19,No informado,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(2) Grupo 2,No informado,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(20) Grupo 20,Hernan Garzon Gutierrez,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(21) Grupo 21,No informado,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(22) Grupo 22,No informado,27,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(24) Grupo 24,Ricardo Ariel Pastran Ramirez,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(25) Grupo 25,No informado,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(27) Grupo 27,No informado,22,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(28) Grupo 28,No informado,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(29) Grupo 29,No informado,47,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(30) Grupo 30,No informado,39,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(32) Grupo 32,No informado,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(4) Grupo 4,Myriam Leonor Campos Florez,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(5) Grupo 5,Oscar Javier Lopez Alfonso,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(7) Grupo 7,Anderson Arley Vera Arboleda,0,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(8) Grupo 8,No informado,24,5
local-20260826T070111,2026-08-26T07:01:56-05:00,1000004-B,NA,(9) Grupo 9,No informado,18,5
local-20260826T070111,2026-08-26T07:01:58-05:00,1000006-B,NA,(1) Grupo 1,No informado,0,6
local-20260826T070111,2026-08-26T07:01:58-05:00,1000006-B,NA,(10) Grupo 10,No informado,6,6
local-20260826T070111,2026-08-26T07:01:58-05:00,1000006-B,NA,(11) Grupo 11,No informado,0,6
local-20260826T070111,2026-08-26T07:01:58-05:00,1000006-B,NA,(12) Grupo 12,Leonid Lebedev,0,6
local-20260826T070111,2026-08-26T07:01:58-05:00,1000006-B,NA,(13) Grupo 13,Juan Carlos Hernandez Rincon,0,6
local-20260826T070111,2026-08-26T07:01:58-05:00,1000006-B,NA,(14) Grupo 14,No informado,0,6
local-20260826T070111,2026-08-26T07:01:58-05:00,1000006-B,NA,(15) Grupo 15,No informado,51,6
local-20260826T070111,2026-08-26T07:01:58-05:00,1000006-B,NA,(2) Grupo 2,EDIXON MANUEL ROJAS SANTANA,0,6
local-20260826T070111,2026-08-26T07:01:58-05:00,1000006-B,NA,(3) Grupo 3,Cesar Augusto Gomez Sierra,0,6
